Field,Type,Null,Key,Default,Extra
OrgId,varchar(5),NO,MUL,NULL,
SKUCode,int(11),NO,PRI,NULL,
DisplaySKUCode,varchar(50),NO,MUL,NULL,
SKUName,varchar(100),NO,,NULL,
SKUShortName,varchar(100),YES,,NULL,
SKUClassification,tinyint(4),NO,,NULL,
BOMType,varchar(1),YES,,NULL,
Brand,int(11),YES,,NULL,
Height,"decimal(7,3)",YES,,NULL,
Width,"decimal(7,3)",YES,,NULL,
Weight,"decimal(7,3)",YES,,NULL,
Length,"decimal(7,3)",YES,,NULL,
StyleSKUCode,varchar(50),YES,,NULL,
StyleConfig,varchar(5),YES,,NULL,
ApproveStatus,"tinyint(4) unsigned",YES,,0,
ApprovedBy,varchar(10),YES,,NULL,
ApprovedDate,datetime(3),YES,,NULL,
Status,tinyint(4),NO,,NULL,
ClientId,int(11),NO,MUL,0,
UId,varchar(33),NO,UNI,NULL,
CRTBy,varchar(100),YES,,NULL,
CRTDate,datetime(3),NO,,NULL,
UPDBy,varchar(100),YES,,NULL,
updated_at,datetime(3),NO,,CURRENT_TIMESTAMP(3),"on update CURRENT_TIMESTAMP(3)"
RowVersion,"smallint(11) unsigned",YES,,NULL,
deleted_displaySkuCode,varchar(50),YES,,NULL,
deleted_StyleSkuCode,varchar(50),YES,,NULL,
ErpSkuCode,varchar(50),YES,,NULL,
